이벤트,소스,매체,사용자수
ga4-btn-home-footer-freetrial,cafe24 , floating_banner,1
ga4-btn-home-footer-freetrial,charllasample.cafe24.com , referral,1
ga4-btn-home-footer-freetrial,naver , cpc,1
ga4-btn-home-freetrial,blog.catenoid.net , referral,1
ga4-btn-home-freetrial,blog.naver.com , referral,1
ga4-btn-home-freetrial,cgimall.co.kr , referral,1
ga4-btn-home-freetrial,inspringsunshine.cafe24.com , referral,1
ga4-btn-home-freetrial,slowlolli.cafe24.com , referral,1
ga4-btn-home-freetrial,store.cafe24.com , referral,1
ga4-btn-lite-free,blog.catenoid.net , referral,1
ga4-btn-multiplayer-free,ig , social,1
ga4-btn-multiplayer-free,m.search.naver.com , referral,1
ga4-btn-multiplayer-free,naver , cpc,1
ga4-btn-policy-next,alswn0192.cafe24.com , referral,1
ga4-btn-policy-next,app.shop-pro.jp , referral,1
ga4-btn-policy-next,apps.godo.co.kr , referral,1
ga4-btn-policy-next,aromigagu1.cafe24.com , referral,1
ga4-btn-policy-next,bedfordcof.cafe24.com , referral,1
ga4-btn-policy-next,cafe24 , banner,1
ga4-btn-policy-next,cafe24 , ebook,1
ga4-btn-policy-next,catenoid.net , referral,1
ga4-btn-policy-next,charllasample.cafe24.com , referral,1
ga4-btn-policy-next,clemaric.cafe24.com , referral,1
ga4-btn-policy-next,everybo.cafe24.com , referral,1
ga4-btn-policy-next,factomall.cafe24.com , referral,1
ga4-btn-policy-next,fallinfuni01.cafe24.com , referral,1
ga4-btn-policy-next,gngnine9.cafe24.com , referral,1
ga4-btn-policy-next,happylalla486.cafe24.com , referral,1
ga4-btn-policy-next,imb778899.cafe24.com , referral,1
ga4-btn-policy-next,inbcorporation.cafe24.com , referral,1
ga4-btn-policy-next,inspringsunshine.cafe24.com , referral,1
ga4-btn-policy-next,jwg-web.tistory.com , referral,1
ga4-btn-policy-next,kimutaku4.cafe24.com , referral,1
ga4-btn-policy-next,maket612.cafe24.com , referral,1
ga4-btn-policy-next,minie06051004.cafe24.com , referral,1
ga4-btn-policy-next,mocres.cafe24.com , referral,1
ga4-btn-policy-next,naver , organic,1
ga4-btn-policy-next,okstarkr.cafe24.com , referral,1
ga4-btn-policy-next,openpocha.cafe24.com , referral,1
ga4-btn-policy-next,pxgbossgolf.cafe24.com , referral,1
ga4-btn-policy-next,republish1.cafe24.com , referral,1
ga4-btn-policy-next,studioirom.cafe24.com , referral,1
ga4-btn-policy-next,usul.cafe24.com , referral,1
ga4-btn-policy-next,wrealhate.cafe24.com , referral,1
ga4-btn-policy-social-next,bluepack2026.cafe24.com , referral,1
ga4-btn-policy-social-next,cgimall.co.kr , referral,1
ga4-btn-policy-social-next,charllasample.cafe24.com , referral,1
ga4-btn-policy-social-next,naver , organic,1
ga4-btn-shopinfo-next,accounts.google.com , referral,1
ga4-btn-shopinfo-next,alswn0192.cafe24.com , referral,1
ga4-btn-shopinfo-next,aromigagu1.cafe24.com , referral,1
ga4-btn-shopinfo-next,bedfordcof.cafe24.com , referral,1
ga4-btn-shopinfo-next,cafe24 , ebook,1
ga4-btn-shopinfo-next,catenoid.net , referral,1
ga4-btn-shopinfo-next,clemaric.cafe24.com , referral,1
ga4-btn-shopinfo-next,design-yangji.co.kr , referral,1
ga4-btn-shopinfo-next,factomall.cafe24.com , referral,1
ga4-btn-shopinfo-next,fallinfuni01.cafe24.com , referral,1
ga4-btn-shopinfo-next,hangpasa03.cafe24.com , referral,1
ga4-btn-shopinfo-next,inbcorporation.cafe24.com , referral,1
ga4-btn-shopinfo-next,inspringsunshine.cafe24.com , referral,1
ga4-btn-shopinfo-next,kimutaku4.cafe24.com , referral,1
ga4-btn-shopinfo-next,m.search.naver.com , referral,1
ga4-btn-shopinfo-next,maket612.cafe24.com , referral,1
ga4-btn-shopinfo-next,minie06051004.cafe24.com , referral,1
ga4-btn-shopinfo-next,okstarkr.cafe24.com , referral,1
ga4-btn-shopinfo-next,openpocha.cafe24.com , referral,1
ga4-btn-shopinfo-next,pxgbossgolf.cafe24.com , referral,1
ga4-btn-shopinfo-next,republish1.cafe24.com , referral,1
ga4-btn-shopinfo-next,studioirom.cafe24.com , referral,1
ga4-btn-shopinfo-next,wrealhate.cafe24.com , referral,1
ga4-btn-standard-free,(direct) , (none),1
ga4-btn-standard-free,google , cpc,1
ga4-btn-statistic-footer-free,naver , cpc,1
ga4_btn_basic_free,(direct) , (none),1
ga4_btn_basic_free,google , cpc,1
ga4_btn_basic_free,google , organic,1
sign-up-create-account-social,bluepack2026.cafe24.com , referral,1
sign-up-create-account-social,idfmall.cafe24.com , referral,1
sign-up-create-account-social,qhdrus123.cafe24.com , referral,1
sign-up-create-account-social,slowlolli.cafe24.com , referral,1
sign-up-create-account-social,usul.cafe24.com , referral,1
sign_up,cafe24 , banner,1
sign_up,exerapy.cafe24.com , referral,1
sign_up,gngnine9.cafe24.com , referral,1
sign_up,imb778899.cafe24.com , referral,1
sign_up,m.search.naver.com , referral,1
sign_up,microkorea.cafe24.com , referral,1
sign_up,pinksaltcloset.cafe24.com , referral,1
sign_up,stayuyh12.cafe24.com , referral,1
sign_up_create_account,aketing.cafe24.com , referral,1
sign_up_create_account,alswn0192.cafe24.com , referral,1
sign_up_create_account,app.shop-pro.jp , referral,1
sign_up_create_account,apps.godo.co.kr , referral,1
sign_up_create_account,aromigagu1.cafe24.com , referral,1
sign_up_create_account,bedfordcof.cafe24.com , referral,1
sign_up_create_account,bs2korea.cafe24.com , referral,1
sign_up_create_account,cafe24 , ebook,1
sign_up_create_account,clemaric.cafe24.com , referral,1
sign_up_create_account,ecudemo392041.cafe24.com , referral,1
sign_up_create_account,factomall.cafe24.com , referral,1
sign_up_create_account,fallinfuni01.cafe24.com , referral,1
sign_up_create_account,hacie1.cafe24.com , referral,1
sign_up_create_account,inbcorporation.cafe24.com , referral,1
sign_up_create_account,inspringsunshine.cafe24.com , referral,1
sign_up_create_account,maket612.cafe24.com , referral,1
sign_up_create_account,meowbox0383.cafe24.com , referral,1
sign_up_create_account,minie06051004.cafe24.com , referral,1
sign_up_create_account,mocres.cafe24.com , referral,1
sign_up_create_account,naver , organic,1
sign_up_create_account,okstarkr.cafe24.com , referral,1
sign_up_create_account,openpocha.cafe24.com , referral,1
sign_up_create_account,pxgbossgolf.cafe24.com , referral,1
sign_up_create_account,secondblow001.cafe24.com , referral,1
sign_up_create_account,studioirom.cafe24.com , referral,1
sign_up_create_account,testsysy.cafe24.com , referral,1
sign_up_create_account,usul.cafe24.com , referral,1
sign_up_create_account,vitasoo.cafe24.com , referral,1
sign_up_create_account,wrealhate.cafe24.com , referral,1
start_sign_up,api.shop-pro.jp , referral,1
start_sign_up,app.shop-pro.jp , referral,1
start_sign_up,apps.godo.co.kr , referral,1
start_sign_up,board.worksmobile.com , referral,1
start_sign_up,catenoid.net , referral,1
start_sign_up,dibambi.cafe24.com , referral,1
start_sign_up,idfmall.cafe24.com , referral,1
start_sign_up,store.cafe24.com , referral,1
start_sign_up,urbancarry.cafe24.com , referral,1
